Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Denver Nuggets,DEN @ MIN,3/25/2012,L,240,100,41,81,50.6,3,15,20,15,22,68.2,11,31,42,19,4,3,17,18,-17
Denver Nuggets,DEN @ CHI,3/26/2012,W,240,108,44,88,50,8,16,50,12,16,75,14,31,45,24,10,7,9,12,17
Denver Nuggets,DEN @ TOR,3/28/2012,L,240,96,33,80,41.3,5,20,25,25,30,83.3,12,31,43,18,6,3,12,20,-9
Denver Nuggets,DEN @ CHA,3/30/2012,W,240,99,38,73,52.1,2,17,11.8,21,29,72.4,9,40,49,29,4,7,25,21,11
Denver Nuggets,DEN @ ORL,4/1/2012,W,240,104,40,72,55.6,8,19,42.1,16,21,76.2,7,31,38,21,5,3,17,22,3
Denver Nuggets,DEN @ NOH,4/4/2012,L,240,92,35,83,42.2,6,20,30,16,22,72.7,12,20,32,25,7,1,9,22,-2
Denver Nuggets,DEN vs. PHX,4/6/2012,W,240,105,37,92,40.2,11,27,40.7,20,31,64.5,14,27,41,24,8,2,5,22,6
Denver Nuggets,DEN @ GSW,4/7/2012,L,240,97,37,80,46.3,8,25,32,15,20,75,11,24,35,22,6,6,16,15,-15
Denver Nuggets,DEN vs. GSW,4/9/2012,W,240,123,48,88,54.5,9,18,50,18,24,75,16,44,60,35,7,9,16,13,39
Denver Nuggets,DEN vs. MIN,4/11/2012,W,240,113,41,82,50,9,22,40.9,22,31,71,10,24,34,28,7,7,13,25,6
Denver Nuggets,DEN @ LAL,4/13/2012,L,240,97,41,92,44.6,5,17,29.4,10,15,66.7,18,22,40,20,15,2,15,23,-6
Denver Nuggets,DEN vs. HOU,4/15/2012,W,240,101,41,83,49.4,4,16,25,15,21,71.4,9,36,45,27,6,5,16,22,15
Denver Nuggets,DEN @ HOU,4/16/2012,W,240,105,38,80,47.5,9,18,50,20,29,69,9,32,41,26,8,4,13,18,3
Denver Nuggets,DEN vs. LAC,4/18/2012,L,240,98,36,73,49.3,5,18,27.8,21,26,80.8,8,31,39,19,5,3,17,21,-6
Denver Nuggets,DEN @ PHX,4/21/2012,W,240,118,48,87,55.2,6,13,46.2,16,17,94.1,8,30,38,25,12,7,10,17,11
Denver Nuggets,DEN vs. ORL,4/22/2012,W,240,101,44,78,56.4,5,15,33.3,8,11,72.7,9,34,43,32,5,5,16,18,27
Denver Nuggets,DEN @ OKC,4/25/2012,W,240,106,40,90,44.4,8,23,34.8,18,30,60,17,25,42,21,8,4,11,20,5
Denver Nuggets,DEN @ MIN,4/26/2012,W,240,131,56,89,62.9,5,10,50,14,20,70,12,36,48,30,9,4,16,22,29
