Houston Rockets,HOU @ ORL,12/26/2011,L,240,95,36,82,43.9,6,27,22.2,17,20,85,11,30,41,26,4,5,10,17,-9
Houston Rockets,HOU vs. SAS,12/29/2011,W,240,105,43,85,50.6,9,26,34.6,10,13,76.9,13,33,46,21,7,8,11,17,20
Houston Rockets,HOU @ MEM,12/30/2011,L,240,93,34,79,43,11,29,37.9,14,18,77.8,6,27,33,19,9,4,20,29,-20
Houston Rockets,HOU vs. ATL,12/31/2011,W,240,95,38,82,46.3,9,19,47.4,10,13,76.9,11,34,45,26,7,6,12,18,11
Houston Rockets,HOU @ LAL,1/3/2012,L,240,99,41,96,42.7,11,31,35.5,6,7,85.7,10,28,38,27,8,0,8,25,-9
Houston Rockets,HOU @ LAC,1/4/2012,L,240,89,35,76,46.1,7,16,43.8,12,17,70.6,6,27,33,15,3,0,19,23,-28
Houston Rockets,HOU @ OKC,1/6/2012,L,240,94,36,78,46.2,3,13,23.1,19,27,70.4,11,29,40,19,6,6,12,22,-15
Houston Rockets,HOU vs. OKC,1/7/2012,L,240,95,38,87,43.7,5,14,35.7,14,15,93.3,14,27,41,23,7,5,13,21,-3
Houston Rockets,HOU @ CHA,1/10/2012,W,240,82,32,83,38.6,6,17,35.3,12,16,75,14,43,57,18,4,9,22,17,12
Houston Rockets,HOU @ SAS,1/11/2012,L,265,95,41,96,42.7,3,21,14.3,10,12,83.3,15,33,48,19,8,4,11,24,-6
Houston Rockets,HOU vs. SAC,1/13/2012,W,240,103,40,89,44.9,8,21,38.1,15,19,78.9,18,37,55,22,6,5,14,15,14
Houston Rockets,HOU vs. POR,1/14/2012,W,265,107,39,93,41.9,5,18,27.8,24,28,85.7,19,35,54,20,8,4,18,30,2
Houston Rockets,HOU @ WAS,1/16/2012,W,240,114,42,87,48.3,5,16,31.3,25,26,96.2,15,27,42,24,6,7,11,21,8
Houston Rockets,HOU vs. DET,1/17/2012,W,240,97,40,81,49.4,8,19,42.1,9,12,75,17,25,42,16,11,1,21,18,17
Houston Rockets,HOU vs. NOH,1/19/2012,W,265,90,35,88,39.8,9,27,33.3,11,13,84.6,14,39,53,17,11,7,20,18,2
Houston Rockets,HOU vs. SAS,1/21/2012,W,240,105,44,79,55.7,6,22,27.3,11,12,91.7,4,28,32,22,5,9,13,18,3
Houston Rockets,HOU @ MIN,1/23/2012,W,240,107,39,86,45.3,7,21,33.3,22,28,78.6,9,33,42,20,11,3,12,23,15
Houston Rockets,HOU vs. MIL,1/25/2012,L,240,99,38,93,40.9,8,31,25.8,15,20,75,16,36,52,22,5,6,13,15,-6
Houston Rockets,HOU vs. WAS,1/27/2012,W,240,103,38,90,42.2,5,15,33.3,22,30,73.3,19,36,55,22,12,7,17,16,27
Houston Rockets,HOU vs. NYK,1/28/2012,W,240,97,38,77,49.4,4,12,33.3,17,22,77.3,9,38,47,19,9,5,17,20,13
Houston Rockets,HOU vs. MIN,1/30/2012,L,240,108,40,85,47.1,7,19,36.8,21,30,70,11,23,34,24,9,5,12,23,-12
Houston Rockets,HOU @ SAS,2/1/2012,L,240,91,36,79,45.6,9,22,40.9,10,13,76.9,12,32,44,18,8,2,21,22,-8
Houston Rockets,HOU vs. PHX,2/3/2012,W,240,99,39,89,43.8,4,15,26.7,17,17,100,14,35,49,17,8,9,16,17,18
Houston Rockets,HOU @ MIN,2/4/2012,L,240,91,39,91,42.9,2,10,20,11,14,78.6,10,27,37,24,8,8,10,20,-9
Houston Rockets,HOU @ DEN,2/6/2012,W,240,99,35,81,43.2,10,19,52.6,19,24,79.2,6,34,40,21,9,5,16,28,9
Houston Rockets,HOU @ POR,2/8/2012,W,240,103,41,78,52.6,10,23,43.5,11,19,57.9,9,30,39,26,10,6,23,22,7
Houston Rockets,HOU @ PHX,2/9/2012,W,240,96,42,86,48.8,8,16,50,4,6,66.7,12,32,44,26,7,2,12,12,7
Houston Rockets,HOU @ GSW,2/12/2012,L,240,97,31,75,41.3,11,29,37.9,24,33,72.7,13,34,47,22,9,4,19,17,-9
Houston Rockets,HOU @ MEM,2/14/2012,L,240,83,30,78,38.5,3,10,30,20,24,83.3,15,20,35,14,10,4,18,20,-10
Houston Rockets,HOU vs. OKC,2/15/2012,W,240,96,37,87,42.5,8,18,44.4,14,18,77.8,11,30,41,20,13,3,14,19,1
Houston Rockets,HOU vs. MIN,2/17/2012,L,240,98,40,85,47.1,10,20,50,8,10,80,8,18,26,20,9,4,12,21,-13
Houston Rockets,HOU vs. UTA,2/19/2012,W,240,101,37,72,51.4,10,19,52.6,17,24,70.8,10,28,38,18,6,6,14,20,16
Houston Rockets,HOU vs. MEM,2/20/2012,W,240,97,35,74,47.3,7,22,31.8,20,25,80,10,26,36,21,9,3,14,20,4
Houston Rockets,HOU vs. PHI,2/22/2012,W,240,93,36,78,46.2,5,18,27.8,16,20,80,4,34,38,16,3,2,14,21,6
Houston Rockets,HOU vs. TOR,2/28/2012,W,240,88,29,75,38.7,7,20,35,23,28,82.1,8,29,37,14,2,3,13,15,3
Houston Rockets,HOU @ UTA,2/29/2012,L,240,83,32,82,39,6,23,26.1,13,16,81.3,10,24,34,20,9,6,16,18,-21
Houston Rockets,HOU vs. DEN,3/2/2012,L,240,105,36,76,47.4,10,29,34.5,23,29,79.3,10,25,35,18,1,9,14,25,-12
Houston Rockets,HOU vs. LAC,3/4/2012,L,265,103,37,86,43,10,20,50,19,24,79.2,12,31,43,19,9,3,12,25,-2
Houston Rockets,HOU @ BOS,3/6/2012,L,265,92,32,83,38.6,5,19,26.3,23,29,79.3,14,43,57,18,8,2,20,25,-5
Houston Rockets,HOU @ TOR,3/7/2012,L,240,98,29,70,41.4,3,11,27.3,37,44,84.1,12,22,34,15,4,3,17,20,-18
Houston Rockets,HOU @ NJN,3/10/2012,W,240,112,46,82,56.1,9,16,56.3,11,14,78.6,10,25,35,28,2,6,9,14,6
Houston Rockets,HOU @ CLE,3/11/2012,L,240,107,44,86,51.2,8,17,47.1,11,17,64.7,9,30,39,25,5,6,13,25,-11
