Thu Oct 30 2007,Utah Jazz,102,Dallas Mavericks,120
Thu Oct 30 2007,Detroit Pistons,91,Minnesota Timberwolves,97
Thu Oct 30 2007,Washington Wizards,105,Orlando Magic,98
Fri Oct 31 2007,Cleveland Cavaliers,114,Chicago Bulls,108
Fri Oct 31 2007,Memphis Grizzlies,97,Indiana Pacers,89
Fri Oct 31 2007,Los Angeles Clippers,118,Los Angeles Lakers,111
Fri Oct 31 2007,Philadelphia 76ers,81,Milwaukee Bucks,93
Fri Oct 31 2007,San Antonio Spurs,89,Phoenix Suns,94
Fri Oct 31 2007,Portland Trail Blazers,94,Sacramento Kings,103
Sat Nov 1 2007,Indiana Pacers,92,Atlanta Hawks,102
Sat Nov 1 2007,Memphis Grizzlies,71,Charlotte Hornets,69
Sat Nov 1 2007,Brooklyn Nets,102,Detroit Pistons,90
Sat Nov 1 2007,Los Angeles Lakers,104,Golden State Warriors,127
Sat Nov 1 2007,Boston Celtics,90,Houston Rockets,104
Sat Nov 1 2007,Chicago Bulls,106,Minnesota Timberwolves,105
Sat Nov 1 2007,Dallas Mavericks,109,New Orleans Pelicans,104
Sat Nov 1 2007,Denver Nuggets,91,Oklahoma City Thunder,102
Sat Nov 1 2007,Toronto Raptors,108,Orlando Magic,95
Sat Nov 1 2007,Miami Heat,114,Philadelphia 76ers,96
Sat Nov 1 2007,Phoenix Suns,91,Utah Jazz,118
Sat Nov 1 2007,Milwaukee Bucks,97,Washington Wizards,108
Sun Nov 2 2007,Sacramento Kings,98,Los Angeles Clippers,92
Sun Nov 2 2007,Toronto Raptors,102,Miami Heat,107
Sun Nov 2 2007,Charlotte Hornets,93,New York Knicks,96
Sun Nov 2 2007,Golden State Warriors,95,Portland Trail Blazers,90
Mon Nov 3 2007,Oklahoma City Thunder,85,Brooklyn Nets,116
Mon Nov 3 2007,Boston Celtics,113,Dallas Mavericks,118
Mon Nov 3 2007,Sacramento Kings,110,Denver Nuggets,105
Mon Nov 3 2007,Utah Jazz,101,Los Angeles Clippers,107
Mon Nov 3 2007,New Orleans Pelicans,81,Memphis Grizzlies,93
Mon Nov 3 2007,Houston Rockets,104,Philadelphia 76ers,93
Tue Nov 4 2007,Orlando Magic,90,Chicago Bulls,98
Tue Nov 4 2007,Milwaukee Bucks,87,Indiana Pacers,81
Tue Nov 4 2007,Phoenix Suns,112,Los Angeles Lakers,106
Tue Nov 4 2007,Houston Rockets,108,Miami Heat,91
Tue Nov 4 2007,Charlotte Hornets,91,New Orleans Pelicans,100
Tue Nov 4 2007,Washington Wizards,98,New York Knicks,83
Tue Nov 4 2007,Cleveland Cavaliers,82,Portland Trail Blazers,101
Tue Nov 4 2007,Oklahoma City Thunder,88,Toronto Raptors,100
Wed Nov 5 2007,Toronto Raptors,110,Boston Celtics,107
Wed Nov 5 2007,Minnesota Timberwolves,98,Brooklyn Nets,91
Wed Nov 5 2007,Miami Heat,89,Charlotte Hornets,96
Wed Nov 5 2007,New York Knicks,95,Detroit Pistons,98
Wed Nov 5 2007,Los Angeles Clippers,104,Golden State Warriors,121
Wed Nov 5 2007,Chicago Bulls,95,Milwaukee Bucks,86
Wed Nov 5 2007,Orlando Magic,91,Philadelphia 76ers,89
Wed Nov 5 2007,Memphis Grizzlies,102,Phoenix Suns,91
Wed Nov 5 2007,Denver Nuggets,109,Sacramento Kings,131
Wed Nov 5 2007,Atlanta Hawks,92,San Antonio Spurs,94
Wed Nov 5 2007,Cleveland Cavaliers,100,Utah Jazz,102
Wed Nov 5 2007,Indiana Pacers,94,Washington Wizards,96
Thu Nov 6 2007,San Antonio Spurs,81,Houston Rockets,98
Thu Nov 6 2007,Dallas Mavericks,87,Portland Trail Blazers,108
Fri Nov 7 2007,Indiana Pacers,98,Boston Celtics,101
Fri Nov 7 2007,New York Knicks,99,Brooklyn Nets,110
Fri Nov 7 2007,Atlanta Hawks,119,Charlotte Hornets,122
Fri Nov 7 2007,Cleveland Cavaliers,110,Denver Nuggets,101
Fri Nov 7 2007,Milwaukee Bucks,95,Detroit Pistons,98
Fri Nov 7 2007,Memphis Grizzlies,91,Oklahoma City Thunder,89
Fri Nov 7 2007,Minnesota Timberwolves,103,Orlando Magic,112
Fri Nov 7 2007,Chicago Bulls,118,Philadelphia 76ers,115
Fri Nov 7 2007,Sacramento Kings,114,Phoenix Suns,112
Fri Nov 7 2007,Washington Wizards,84,Toronto Raptors,103
Fri Nov 7 2007,Dallas Mavericks,105,Utah Jazz,82
Sat Nov 8 2007,New York Knicks,96,Atlanta Hawks,103
Sat Nov 8 2007,Boston Celtics,106,Chicago Bulls,101
Sat Nov 8 2007,Golden State Warriors,98,Houston Rockets,87
Sat Nov 8 2007,Washington Wizards,97,Indiana Pacers,90
