Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Toronto Raptors,TOR @ PHI,2015-01-23,W,240,91,33,80,41.3,6,24,25,19,24,79.2,13,29,42,19,11,5,16,17,5
Toronto Raptors,TOR vs. DET,2015-01-25,W,240,114,43,81,53.1,5,15,33.3,23,29,79.3,6,31,37,23,9,5,8,21,4
Toronto Raptors,TOR @ IND,2015-01-27,W,240,104,34,73,46.6,9,26,34.6,27,34,79.4,8,34,42,21,9,6,12,27,13
Toronto Raptors,TOR vs. SAC,2015-01-28,W,240,119,43,84,51.2,17,34,50,16,19,84.2,11,28,39,29,12,4,17,24,17
Toronto Raptors,TOR @ BKN,2015-01-30,W,265,127,47,92,51.1,7,26,26.9,26,30,86.7,9,36,45,22,5,3,10,21,5
Toronto Raptors,TOR @ WAS,2015-01-31,W,265,120,44,88,50,11,26,42.3,21,30,70,6,28,34,26,7,8,14,29,4
Toronto Raptors,TOR vs. MIL,2015-02-02,L,240,75,25,78,32.1,7,27,25.9,18,22,81.8,13,33,46,14,7,3,16,19,-7
Toronto Raptors,TOR vs. BKN,2015-02-04,L,240,93,35,79,44.3,10,33,30.3,13,18,72.2,9,29,38,22,3,4,9,16,-16
Toronto Raptors,TOR vs. LAC,2015-02-06,W,240,123,40,75,53.3,13,30,43.3,30,37,81.1,10,32,42,25,7,1,14,19,16
Toronto Raptors,TOR vs. SAS,2015-02-08,W,240,87,32,74,43.2,4,13,30.8,19,24,79.2,6,42,48,18,11,7,18,15,5
Toronto Raptors,TOR vs. WAS,2015-02-11,W,240,95,31,76,40.8,11,26,42.3,22,26,84.6,9,28,37,17,9,5,13,13,2
Toronto Raptors,TOR @ ATL,2015-02-20,W,240,105,43,96,44.8,13,30,43.3,6,8,75,15,37,52,27,15,9,14,20,25
Toronto Raptors,TOR @ HOU,2015-02-21,L,240,76,25,77,32.5,4,18,22.2,22,28,78.6,7,32,39,12,17,5,25,24,-22
Toronto Raptors,TOR @ NOP,2015-02-23,L,240,97,35,84,41.7,5,23,21.7,22,31,71,16,24,40,13,12,2,8,15,-3
Toronto Raptors,TOR @ DAL,2015-02-24,L,240,92,38,84,45.2,9,26,34.6,7,11,63.6,7,30,37,17,10,4,19,20,-7
Toronto Raptors,TOR vs. GSW,2015-02-27,L,240,89,31,77,40.3,4,22,18.2,23,28,82.1,8,34,42,15,6,3,19,17,-24
Toronto Raptors,TOR @ NYK,2015-02-28,L,240,98,34,81,42,8,29,27.6,22,28,78.6,10,30,40,16,7,4,12,27,-5
Toronto Raptors,TOR @ PHI,2015-03-02,W,240,114,41,80,51.3,11,27,40.7,21,24,87.5,10,26,36,24,6,6,11,16,11
Toronto Raptors,TOR vs. CLE,2015-03-04,L,240,112,43,79,54.4,10,21,47.6,16,17,94.1,7,27,34,24,5,3,9,24,-8
Toronto Raptors,TOR @ CHA,2015-03-06,L,240,94,37,91,40.7,7,22,31.8,13,15,86.7,5,27,32,21,5,5,5,18,-9
Toronto Raptors,TOR @ OKC,2015-03-08,L,240,104,42,98,42.9,11,27,40.7,9,9,100,12,21,33,24,12,3,8,21,-4
Toronto Raptors,TOR @ SAS,2015-03-10,L,240,107,43,97,44.3,8,26,30.8,13,18,72.2,18,28,46,19,6,5,9,26,-10
Toronto Raptors,TOR vs. MIA,2015-03-13,W,240,102,34,79,43,12,33,36.4,22,31,71,9,34,43,26,12,5,17,22,10
Toronto Raptors,TOR vs. POR,2015-03-15,L,240,97,37,78,47.4,5,18,27.8,18,23,78.3,9,33,42,20,5,3,16,22,-16
Toronto Raptors,TOR @ IND,2015-03-16,W,240,117,39,82,47.6,12,23,52.2,27,33,81.8,7,44,51,19,3,4,12,24,19
Toronto Raptors,TOR vs. MIN,2015-03-18,W,240,105,35,79,44.3,12,29,41.4,23,27,85.2,8,31,39,25,6,3,13,15,5
Toronto Raptors,TOR @ CHI,2015-03-20,L,240,92,30,79,38,10,25,40,22,26,84.6,12,24,36,20,6,4,7,19,-16
Toronto Raptors,TOR vs. NYK,2015-03-22,W,240,106,39,75,52,4,11,36.4,24,29,82.8,8,36,44,22,4,1,16,14,17
Toronto Raptors,TOR @ DET,2015-03-24,L,240,104,35,75,46.7,7,23,30.4,27,29,93.1,12,31,43,19,2,4,13,20,-4
Toronto Raptors,TOR vs. CHI,2015-03-25,L,240,103,39,83,47,9,21,42.9,16,19,84.2,10,25,35,16,6,1,7,16,-13
Toronto Raptors,TOR vs. LAL,2015-03-27,W,240,94,36,75,48,7,18,38.9,15,21,71.4,8,32,40,25,8,4,11,19,11
Toronto Raptors,TOR vs. HOU,2015-03-30,W,240,99,35,78,44.9,8,22,36.4,21,27,77.8,12,36,48,20,9,7,16,26,3
Toronto Raptors,TOR @ MIN,2015-04-01,W,240,113,42,76,55.3,13,30,43.3,16,23,69.6,8,26,34,25,8,3,13,18,14
Toronto Raptors,TOR @ BKN,2015-04-03,L,240,109,42,82,51.2,8,26,30.8,17,23,73.9,13,27,40,24,5,1,16,21,-5
Toronto Raptors,TOR vs. BOS,2015-04-04,L,265,116,40,83,48.2,6,23,26.1,30,38,78.9,9,37,46,15,7,4,16,22,-1
Toronto Raptors,TOR @ CHA,2015-04-08,W,240,92,33,77,42.9,12,27,44.4,14,19,73.7,9,38,47,20,5,9,10,19,18
Toronto Raptors,TOR @ ORL,2015-04-10,W,240,101,39,94,41.5,9,30,30,14,15,93.3,17,29,46,22,8,1,16,15,2
Toronto Raptors,TOR @ MIA,2015-04-11,W,240,107,35,83,42.2,9,26,34.6,28,37,75.7,15,32,47,12,7,3,7,31,3
Toronto Raptors,TOR @ BOS,2015-04-14,L,240,93,35,80,43.8,9,24,37.5,14,20,70,7,36,43,17,9,9,20,18,-2
Toronto Raptors,TOR vs. CHA,2015-04-15,W,240,92,38,77,49.4,12,33,36.4,4,4,100,5,27,32,27,8,3,11,16,5
