Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Indiana Pacers,IND @ SAS,10/27/2010,L,240,109,41,77,53.2,8,21,38.1,19,28,67.9,9,27,36,20,9,6,23,26,-13
Indiana Pacers,IND @ CHA,10/29/2010,W,240,104,36,80,45,12,29,41.4,20,24,83.3,9,25,34,25,5,11,11,28,3
Indiana Pacers,IND vs. PHI,10/30/2010,W,240,99,37,89,41.6,7,24,29.2,18,25,72,16,35,51,18,10,6,18,16,13
Indiana Pacers,IND @ PHI,11/3/2010,L,240,75,28,89,31.5,7,22,31.8,12,17,70.6,11,35,46,19,6,5,13,19,-26
Indiana Pacers,IND vs. MIL,11/5/2010,L,240,90,29,75,38.7,6,24,25,26,30,86.7,4,40,44,11,6,9,19,24,-4
Indiana Pacers,IND vs. DEN,11/9/2010,W,240,144,56,87,64.4,16,30,53.3,16,21,76.2,10,35,45,37,7,7,14,20,31
Indiana Pacers,IND vs. HOU,11/12/2010,L,240,99,40,89,44.9,9,22,40.9,10,13,76.9,11,30,41,20,4,4,15,22,-3
Indiana Pacers,IND @ CLE,11/13/2010,W,240,99,36,79,45.6,10,25,40,17,17,100,7,35,42,21,5,7,14,25,14
Indiana Pacers,IND vs. ATL,11/16/2010,L,240,92,31,70,44.3,4,18,22.2,26,30,86.7,12,30,42,18,5,6,16,24,-10
Indiana Pacers,IND vs. LAC,11/18/2010,W,240,107,39,77,50.6,14,26,53.8,15,20,75,6,41,47,24,7,14,17,25,27
Indiana Pacers,IND vs. ORL,11/20/2010,L,240,86,35,89,39.3,5,27,18.5,11,19,57.9,16,35,51,16,9,5,13,24,-4
Indiana Pacers,IND @ MIA,11/22/2010,W,240,93,37,90,41.1,8,23,34.8,11,13,84.6,12,36,48,26,9,2,13,27,16
Indiana Pacers,IND vs. CLE,11/23/2010,W,240,100,35,80,43.8,12,27,44.4,18,21,85.7,7,37,44,21,7,6,13,21,11
Indiana Pacers,IND vs. OKC,11/26/2010,L,265,106,40,91,44,8,23,34.8,18,24,75,11,38,49,22,6,5,16,28,-4
Indiana Pacers,IND @ LAL,11/28/2010,W,240,95,38,88,43.2,4,23,17.4,15,19,78.9,15,33,48,26,7,6,14,22,3
