Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
New Orleans Hornets,NOH vs. MIL,2010-10-27,W,240,95,34,79,43,4,17,23.5,23,29,79.3,6,38,44,23,4,0,9,26,4
New Orleans Hornets,NOH vs. DEN,2010-10-29,W,240,101,38,77,49.4,6,17,35.3,19,24,79.2,11,24,35,23,11,8,15,22,6
New Orleans Hornets,NOH @ SAS,2010-10-30,W,240,99,39,78,50,7,11,63.6,14,17,82.4,3,37,40,20,7,5,16,18,9
New Orleans Hornets,NOH @ HOU,2010-11-03,W,240,107,36,79,45.6,5,13,38.5,30,42,71.4,12,33,45,20,9,11,8,22,8
New Orleans Hornets,NOH vs. MIA,2010-11-05,W,240,96,39,79,49.4,4,14,28.6,14,17,82.4,10,32,42,26,9,1,14,22,3
New Orleans Hornets,NOH @ MIL,2010-11-06,W,240,87,31,69,44.9,7,17,41.2,18,22,81.8,10,37,47,17,6,5,19,22,6
New Orleans Hornets,NOH vs. LAC,2010-11-09,W,240,101,39,77,50.6,8,16,50,15,21,71.4,5,28,33,29,11,7,13,24,19
New Orleans Hornets,NOH vs. POR,2010-11-13,W,240,107,37,77,48.1,8,24,33.3,25,27,92.6,10,30,40,23,8,5,12,20,20
New Orleans Hornets,NOH @ DAL,2010-11-15,L,240,95,34,77,44.2,11,25,44,16,24,66.7,12,30,42,20,9,3,13,26,-3
New Orleans Hornets,NOH vs. DAL,2010-11-17,W,240,99,40,82,48.8,8,14,57.1,11,16,68.8,7,24,31,23,8,4,10,22,2
New Orleans Hornets,NOH vs. CLE,2010-11-19,W,240,108,39,85,45.9,7,25,28,23,30,76.7,8,35,43,22,7,9,10,25,7
New Orleans Hornets,NOH @ SAC,2010-11-21,W,240,75,28,87,32.2,4,12,33.3,15,16,93.8,15,34,49,20,10,6,15,18,4
New Orleans Hornets,NOH @ LAC,2010-11-22,L,240,95,37,78,47.4,6,20,30,15,23,65.2,9,31,40,19,2,2,14,30,-4
New Orleans Hornets,NOH @ UTA,2010-11-24,L,240,87,29,69,42,4,19,21.1,25,32,78.1,7,29,36,13,7,2,18,23,-18
New Orleans Hornets,NOH @ POR,2010-11-26,W,240,97,34,66,51.5,8,14,57.1,21,30,70,11,37,48,21,5,2,17,17,19
New Orleans Hornets,NOH vs. SAS,2010-11-28,L,240,95,36,72,50,5,11,45.5,18,24,75,5,29,34,17,5,6,12,21,-14
New Orleans Hornets,NOH @ OKC,2010-11-29,L,240,89,36,82,43.9,6,14,42.9,11,17,64.7,5,31,36,21,11,4,13,26,-6
New Orleans Hornets,NOH vs. CHA,2010-12-01,W,240,89,36,77,46.8,6,18,33.3,11,17,64.7,10,32,42,25,7,8,12,15,16
New Orleans Hornets,NOH vs. NYK,2010-12-03,L,240,92,33,77,42.9,3,14,21.4,23,30,76.7,11,36,47,18,11,2,19,16,-8
New Orleans Hornets,NOH @ SAS,2010-12-05,L,240,84,33,75,44,3,8,37.5,15,19,78.9,7,23,30,22,8,2,15,23,-25
New Orleans Hornets,NOH vs. DET,2010-12-08,W,240,93,37,74,50,6,14,42.9,13,21,61.9,4,36,40,29,7,5,10,17,19
New Orleans Hornets,NOH vs. OKC,2010-12-10,L,240,92,35,74,47.3,5,14,35.7,17,23,73.9,11,26,37,20,16,5,19,23,-5
New Orleans Hornets,NOH @ PHI,2010-12-12,L,240,70,24,79,30.4,5,12,41.7,17,23,73.9,11,36,47,4,7,2,14,19,-18
New Orleans Hornets,NOH @ MIA,2010-12-13,L,240,84,28,67,41.8,1,13,7.7,27,34,79.4,10,30,40,14,5,1,12,29,-12
New Orleans Hornets,NOH vs. SAC,2010-12-15,W,240,94,34,78,43.6,4,11,36.4,22,30,73.3,13,30,43,25,5,6,12,19,3
New Orleans Hornets,NOH vs. UTA,2010-12-17,W,240,100,38,75,50.7,5,16,31.3,19,22,86.4,13,40,53,23,6,7,19,24,29
New Orleans Hornets,NOH @ DET,2010-12-19,L,265,108,39,87,44.8,6,15,40,24,30,80,14,33,47,18,12,2,15,23,-3
New Orleans Hornets,NOH @ IND,2010-12-20,L,240,93,33,83,39.8,4,15,26.7,23,32,71.9,18,35,53,18,9,5,18,14,-1
New Orleans Hornets,NOH vs. NJN,2010-12-22,W,240,105,41,76,53.9,8,16,50,15,21,71.4,15,33,48,27,4,6,14,14,14
New Orleans Hornets,NOH vs. ATL,2010-12-26,W,240,93,41,84,48.8,2,17,11.8,9,15,60,12,35,47,15,5,1,8,20,7
New Orleans Hornets,NOH @ MIN,2010-12-27,L,240,98,36,85,42.4,3,11,27.3,23,27,85.2,13,26,39,23,8,4,10,25,-15
New Orleans Hornets,NOH vs. LAL,2010-12-29,L,240,88,33,79,41.8,4,16,25,18,22,81.8,6,18,24,18,8,4,15,26,-15
New Orleans Hornets,NOH @ BOS,2010-12-31,W,240,83,33,76,43.4,5,12,41.7,12,21,57.1,11,24,35,21,10,7,12,17,2
New Orleans Hornets,NOH @ WAS,2011-01-01,W,240,92,36,78,46.2,5,16,31.3,15,21,71.4,10,33,43,22,15,1,15,14,11
New Orleans Hornets,NOH vs. PHI,2011-01-03,W,240,84,31,69,44.9,4,14,28.6,18,22,81.8,10,31,41,22,3,9,12,19,7
New Orleans Hornets,NOH vs. GSW,2011-01-05,L,240,103,38,76,50,6,16,37.5,21,33,63.6,16,33,49,24,5,3,18,25,-7
New Orleans Hornets,NOH @ LAL,2011-01-07,L,240,97,33,76,43.4,8,19,42.1,23,26,88.5,12,27,39,19,7,2,12,21,-4
New Orleans Hornets,NOH @ DEN,2011-01-09,W,240,96,35,74,47.3,6,15,40,20,21,95.2,7,38,45,18,2,4,15,26,9
New Orleans Hornets,NOH vs. ORL,2011-01-12,W,265,92,38,87,43.7,5,18,27.8,11,19,57.9,9,41,50,23,4,2,11,11,3
New Orleans Hornets,NOH @ HOU,2011-01-14,W,265,110,39,82,47.6,4,11,36.4,28,31,90.3,13,35,48,19,9,3,19,27,5
New Orleans Hornets,NOH @ CHA,2011-01-15,W,240,88,32,71,45.1,4,11,36.4,20,25,80,4,30,34,21,8,5,8,20,7
New Orleans Hornets,NOH vs. TOR,2011-01-17,W,240,85,34,87,39.1,2,12,16.7,15,19,78.9,19,28,47,20,8,5,10,19,4
New Orleans Hornets,NOH vs. MEM,2011-01-19,W,265,103,39,81,48.1,4,12,33.3,21,28,75,11,31,42,24,6,7,11,16,1
New Orleans Hornets,NOH @ ATL,2011-01-21,W,240,100,36,75,48,8,15,53.3,20,22,90.9,11,44,55,26,8,5,14,18,41
New Orleans Hornets,NOH vs. SAS,2011-01-22,W,240,96,38,81,46.9,12,15,80,8,15,53.3,15,42,57,19,8,8,14,22,24
New Orleans Hornets,NOH vs. OKC,2011-01-24,W,240,91,35,77,45.5,4,15,26.7,17,23,73.9,8,25,33,18,9,7,10,14,2
New Orleans Hornets,NOH @ GSW,2011-01-26,W,240,112,46,74,62.2,5,13,38.5,15,19,78.9,7,28,35,32,9,6,23,27,9
New Orleans Hornets,NOH @ SAC,2011-01-29,L,240,96,32,74,43.2,4,16,25,28,30,93.3,7,28,35,15,6,5,15,23,-6
New Orleans Hornets,NOH @ PHX,2011-01-30,L,240,102,40,95,42.1,6,16,37.5,16,19,84.2,15,32,47,21,5,3,8,20,-2
New Orleans Hornets,NOH vs. WAS,2011-02-01,W,240,97,35,72,48.6,4,12,33.3,23,30,76.7,10,31,41,19,13,2,17,21,8
New Orleans Hornets,NOH @ OKC,2011-02-02,L,240,93,37,83,44.6,3,12,25,16,21,76.2,9,23,32,18,8,3,7,22,-11
New Orleans Hornets,NOH vs. LAL,2011-02-05,L,240,95,41,83,49.4,9,21,42.9,4,4,100,11,31,42,24,0,3,12,22,-6
New Orleans Hornets,NOH vs. MIN,2011-02-07,L,240,92,35,84,41.7,6,24,25,16,22,72.7,17,26,43,22,7,9,13,24,-12
