Atlanta Hawks,41,29,12,70.7,2.9,2.3,4.8,48.5,0.7,1.6,40.3,2.4,3.1,76,0.5,2,2.4,1.6,0.8,0.6,0.3,0.3,1.5,2.2,7.7,2.1
Boston Celtics,45,20,25,44.4,3.9,2.8,7.2,39.5,0.8,2.5,33.3,2.3,3,77.6,1.1,2.5,3.6,1.8,1.1,0.5,0.3,0.7,2.6,2.2,8.8,0
Brooklyn Nets,42,24,18,57.1,4.1,2.5,6.5,37.9,0.5,2,26.8,2.4,3,78.9,1,2.8,3.7,1.3,1.1,0.4,0.5,0.3,2.3,2.2,7.8,-0.3
Charlotte Hornets,41,17,24,41.5,4.3,2.5,7,35.3,0.3,1.6,21.2,2.6,3.5,74.8,1,3.1,4.1,1,1,0.4,0.5,0.5,2.4,2.3,7.9,-1.1
Chicago Bulls,47,31,16,66,3.8,2.7,6.5,41.1,0.6,2,31.2,2.5,3.1,82.6,1,2.7,3.7,1.5,1.2,0.4,0.5,0.4,2,2.5,8.5,1
Cleveland Cavaliers,33,20,13,60.6,3.7,2.6,6.4,41,0.8,2.3,36,2.5,3.1,81.4,1.3,1.8,3.2,1.2,0.9,0.3,0.3,0.3,2,2.5,8.6,1.2
Dallas Mavericks,40,26,14,65,4.1,3.5,7.2,48.1,0.7,2.1,31,2.6,3.3,78.2,1.1,2.5,3.5,1.8,1,0.9,0.3,0.4,2.4,2.5,10.2,1.9
Denver Nuggets,38,14,24,36.8,4.2,3.2,7.6,41.4,0.8,2.6,29.3,2,2.6,77.3,1.4,2.3,3.7,1.7,1.1,0.3,0.6,0.4,2.3,1.9,9.1,-0.9
Detroit Pistons,39,14,25,35.9,3.8,2.7,7.1,37.9,0.6,2.6,24.8,1.5,2.8,55.6,1.2,2.3,3.4,1.4,0.7,0.7,0.3,0.6,2.7,2.1,7.6,-1.1
Golden State Warriors,31,23,8,74.2,3.1,2.7,6.1,43.7,0.6,1.9,30,2.3,2.7,85.7,1.1,2,3,1.5,0.6,0.7,0.2,0.2,1.3,1.9,8.3,2
Houston Rockets,41,25,16,61,3.7,2.1,5.2,40.5,0.9,2.3,37.6,2.9,3.8,76.9,0.7,2.4,3.1,1,1.3,0.5,0.3,0.3,2.4,2.7,8,0
Indiana Pacers,48,23,25,47.9,4.1,2.6,6.7,38.5,0.6,2,28.9,2.6,3.3,80.1,0.8,3,3.9,1.5,0.9,0.5,0.5,0.3,2.3,2.4,8.4,0.1
Los Angeles Clippers,38,24,14,63.2,3.4,2.1,5.4,38.2,0.4,1.7,23.4,3.1,4.2,74.7,0.8,2.8,3.6,1.1,0.9,0.5,0.6,0.2,2.1,2.4,7.6,0.7
Los Angeles Lakers,46,15,31,32.6,4.4,3,7.7,38.2,0.5,1.9,23.6,2.7,3.2,81.9,1,3,3.9,1.5,1.1,0.5,0.5,0.5,3,2.3,9,-1.2
Memphis Grizzlies,44,30,14,68.2,4.4,3.2,7.1,45.5,0.6,1.3,47.3,2.9,3.5,83.2,1.1,3,4.1,1.8,1.2,0.7,0.5,0.5,2.2,2.5,10,1.5
Miami Heat,40,23,17,57.5,3.4,2.3,5.7,40.3,0.6,2.1,30.1,2.2,2.7,80.6,0.7,2.3,3,1.2,0.9,0.3,0.4,0.3,1.6,1.9,7.4,1.2
Milwaukee Bucks,43,20,23,46.5,4.4,2.8,7.8,36.2,0.6,2,28.2,2.3,3,77.1,1.3,3,4.4,1.3,1.1,0.4,0.5,0.5,2.4,2.4,8.6,-0.5
Minnesota Timberwolves,39,12,27,30.8,4.2,2.8,6.9,40.3,0.6,1.9,34.2,2.7,3.5,77.9,1.5,2.7,4.2,1.6,1.2,0.6,0.4,0.5,3,2.3,8.9,-0.8
New Orleans Pelicans,44,23,21,52.3,3.7,2.6,6.3,41.7,0.5,1.5,36.9,2.2,2.8,79.3,1,2.5,3.5,1.5,0.9,0.4,0.6,0.7,1.8,2,8,0.1
New York Knicks,40,14,26,35,4.2,2.7,7,37.7,0.5,1.8,28.8,2,2.6,77.9,1.4,2.7,4.1,1.2,1.3,0.5,0.4,0.5,2.8,2,7.9,-1.1
Oklahoma City Thunder,42,19,23,45.2,3.8,2.9,7.5,38.3,0.6,2.5,25.7,1.6,2.3,70.1,1,3,4,1.1,0.9,0.5,0.6,0.4,2.5,1.8,8,0
Orlando Magic,50,21,29,42,3.4,2.5,5.4,45.6,0.3,1.2,27.4,1.8,2.5,74.8,0.6,2.3,2.9,1.1,0.8,0.5,0.4,0.4,1.9,1.8,7.1,-0.4
Philadelphia 76ers,36,12,24,33.3,3.9,2.1,6.1,35.3,0.6,2.2,27.8,2,2.8,70.6,0.8,2.8,3.6,1.4,1.4,0.6,0.6,0.5,2.3,2,6.9,-1.3
Phoenix Suns,47,22,25,46.8,4.4,2.9,6.8,42.3,0.5,2,26.9,3,3.7,80.7,1.1,3.2,4.3,1.1,1.5,0.7,0.4,0.3,3,2.9,9.3,-0.4
Portland Trail Blazers,44,24,20,54.5,3.7,2.7,6.5,41.8,0.8,2.6,31.6,2.6,3.1,82.6,1,2.7,3.7,1.3,0.5,0.6,0.3,0.3,2,2.1,8.8,0.7
Sacramento Kings,41,18,23,43.9,3.5,2,5.1,39.5,0.3,1.2,22,2.6,3,87.8,0.8,2.2,3,1,1.1,0.4,0.3,0.4,2.2,2.2,7,-1.1
San Antonio Spurs,38,19,19,50,4.5,2.8,7,40.1,0.7,2.1,33.3,2.9,4.2,68.8,1.1,3.1,4.2,1.9,1.3,0.4,0.5,0.4,2.2,2.5,9.2,0.3
Toronto Raptors,43,22,21,51.2,4.3,3,7.3,41.1,0.7,2.2,29.2,2.4,3,79.7,1.2,2.7,3.9,1.3,0.9,0.5,0.3,0.5,2.4,2.4,9,-0.6
Utah Jazz,41,17,24,41.5,3.4,2,5.6,35.1,0.2,1.4,17.5,3.1,4.1,75.6,1.2,2.6,3.9,0.9,1.1,0.5,0.4,0.5,1.9,2.4,7.3,-0.1
Washington Wizards,42,21,21,50,4.8,3,7.5,39.1,0.5,1.9,23.8,2.6,3.6,70.6,1,3.1,4.2,1.4,1.4,0.6,0.3,0.6,2.4,2.6,8.9,-1.2
