Atlanta Hawks,16.8,28.6,58.8,3.3,8,41.5,2,5,39.4,4.7,10.8,43.4,7.2,17.6,41,4,11.5,35.2
Boston Celtics,17.1,29.4,58.1,3,7.8,38.7,2.7,6.7,40.7,6.1,14.8,41.5,6.1,16.8,36.5,3.8,12,31.6
Brooklyn Nets,15.9,27.5,57.6,5.7,12.4,45.9,3.2,8,40.1,4.6,11.6,39.9,5.4,15.3,35.2,2.6,7.6,34.3
Charlotte Hornets,13.8,25.5,54.3,3.8,9.7,39.6,2.8,7.5,36.6,7.4,18.4,40.3,3.9,10.7,36.5,3.8,12.2,30.9
Chicago Bulls,16.9,30.6,55.3,3.3,8.2,40.3,2.4,6.4,37.1,4.4,11.2,39.4,5.8,15.4,37.7,3.8,10.7,35.2
Cleveland Cavaliers,17.1,28.2,60.5,3.2,8.8,36.7,2.2,6.2,36,4,8.6,46.3,6,16,37.7,5,13.9,36.2
Dallas Mavericks,17.9,29.3,61.2,3,7.5,39.5,2.5,5.9,42.1,5.6,13.1,42.6,7.5,19.8,37.9,3.2,10,32.3
Denver Nuggets,18.4,32.2,57.3,3.2,9.3,34.4,2.3,5.6,40,4.5,11.7,38.4,5.5,15.7,34.8,3.9,12.3,31.6
Detroit Pistons,18.3,33.4,54.7,3.8,10.9,35.2,1.5,4.2,36.5,3.6,9.1,39.5,4.9,13.1,37.4,4.9,14.5,33.4
Golden State Warriors,18.2,28.9,62.9,3.3,8.6,38.4,3.3,7.4,44.2,4.8,11.4,41.9,5.8,14,41.5,6.2,16.2,38.1
Houston Rockets,18.4,31.4,58.6,4,9.7,40.9,1.1,3.1,36.5,1.5,4.6,33.1,8,21.5,37.1,4,12.7,31.2
Indiana Pacers,14.1,25,56.5,3.9,9.8,40.3,2.7,7,38.3,6.6,16,41.2,4.9,12.8,38.7,4.3,12.3,34.7
Los Angeles Clippers,15.4,24.4,63.1,2.4,5.8,41.9,2.6,6,43.1,6.5,14.8,43.6,7.7,18.4,41.6,4.8,13.4,35.8
Los Angeles Lakers,16.4,28,58.7,2.8,7.5,37.1,3.2,8.4,38.1,6.3,17.1,36.8,5.1,14.6,35.1,3.4,9.7,34.8
Memphis Grizzlies,17.9,30.3,59,4.6,11.5,39.6,3.7,8.6,42.7,5,12.7,39.1,4.2,11.6,36.5,2.4,7.3,33
Miami Heat,15.9,26.3,60.4,3.2,7.4,43,3,7.1,41.7,5.1,12.6,40.7,5.5,15.9,34.7,2.5,7.5,32.7
Milwaukee Bucks,18.1,31.7,57.2,2.7,7.2,37,2.8,6.6,42.6,6.1,14.8,41.3,4.8,12.4,38.7,3.1,9.1,34.1
Minnesota Timberwolves,16.7,28.9,57.8,3.5,9.6,35.9,3.2,8,40.1,5.8,15.2,38.4,5.2,14.9,34.9,2,6.3,31.8
New Orleans Pelicans,19,33.9,56,2.9,7.5,38.4,2.5,6.1,41.1,4.7,11.9,39.3,5.3,13.2,40.4,3.5,9.8,35.2
New York Knicks,13.4,24.7,54.3,2.5,7.1,35.9,3,7.8,38.9,7,16.5,42.3,5.5,15.1,36.6,3.6,10.4,34.7
Oklahoma City Thunder,18.2,32,56.9,3.3,8,40.9,3.5,7.5,46,5.3,13.8,38.4,6.1,17.5,34.9,2.5,7.7,32
Orlando Magic,17.7,30.9,57.3,4.2,10.4,40,2.4,6.2,38.7,5,11.8,42.4,4.8,13.2,36.6,3.4,10,34.1
Philadelphia 76ers,17.9,33.2,53.8,2.4,7.7,31.6,1.3,4.2,31.9,2.9,8.7,33.9,4.2,12.9,32.9,4.9,15.6,31.4
Phoenix Suns,17.7,29.2,60.6,3,7.9,37.8,3.6,8.4,42.7,4.8,12.1,40.1,6.6,18.6,35.5,3,9.3,32.8
Portland Trail Blazers,15.5,25.4,61.1,3.1,7.5,42.1,2.8,7.4,38.3,5.5,13.5,40.9,7.6,20.5,37.1,4.1,11.2,36.2
Sacramento Kings,18.5,32.2,57.6,3.7,9.9,36.9,2.3,5.6,40.5,5.2,12.9,40,4.9,13.3,36.5,2.2,6.3,34.9
San Antonio Spurs,17,28.1,60.4,5.5,12,46.1,2.9,7,40.5,4.3,10.7,39.9,6.3,16.3,38.9,3.1,9.2,34.2
Toronto Raptors,16.7,27.8,60.1,4.2,9.6,43.4,2.8,6.7,41.3,4.3,10.9,39.7,5.8,15.2,38.3,4.1,12.7,32
Utah Jazz,17.7,29.1,60.8,2.6,8,32.5,2.3,5.8,40.2,4,10.5,37.6,6.1,17.4,35.1,2.6,7.9,33.6
Washington Wizards,17.2,27.6,62.2,3,7.9,37.5,3.4,8.5,39.9,6.8,17.2,39.8,4.6,12.3,37.3,3.3,8.9,36.8
