Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
San Antonio Spurs,SAS @ NOH,10/31/2012,W,240,99,38,80,47.5,6,20,30,17,26,65.4,10,33,43,22,9,8,16,21,4
San Antonio Spurs,SAS vs. OKC,11/1/2012,W,240,86,35,79,44.3,5,19,26.3,11,16,68.8,6,33,39,27,9,4,13,21,2
San Antonio Spurs,SAS vs. UTA,11/3/2012,W,240,110,42,74,56.8,7,13,53.8,19,23,82.6,7,26,33,29,8,6,18,18,10
San Antonio Spurs,SAS vs. IND,11/5/2012,W,240,101,41,87,47.1,8,18,44.4,11,13,84.6,11,34,45,25,11,2,8,17,22
San Antonio Spurs,SAS @ LAC,11/7/2012,L,240,84,30,73,41.1,8,23,34.8,16,24,66.7,6,23,29,25,7,4,20,11,-22
San Antonio Spurs,SAS @ SAC,11/9/2012,W,240,97,35,72,48.6,5,18,27.8,22,26,84.6,7,41,48,27,8,9,20,19,11
San Antonio Spurs,SAS @ POR,11/10/2012,W,240,112,40,70,57.1,7,18,38.9,25,31,80.6,6,30,36,20,9,5,21,20,3
San Antonio Spurs,SAS @ LAL,11/13/2012,W,240,84,35,90,38.9,7,20,35,7,11,63.6,11,27,38,22,13,5,8,17,2
San Antonio Spurs,SAS vs. NYK,11/15/2012,L,240,100,38,87,43.7,8,29,27.6,16,21,76.2,13,35,48,21,4,7,13,20,-4
San Antonio Spurs,SAS vs. DEN,11/17/2012,W,240,126,47,88,53.4,16,27,59.3,16,20,80,14,26,40,33,11,6,14,21,26
San Antonio Spurs,SAS vs. LAC,11/19/2012,L,240,87,29,82,35.4,6,20,30,23,28,82.1,13,29,42,16,7,3,14,19,-5
San Antonio Spurs,SAS @ BOS,11/21/2012,W,240,112,45,77,58.4,8,16,50,14,19,73.7,6,35,41,26,8,2,18,17,12
San Antonio Spurs,SAS @ IND,11/23/2012,W,240,104,41,83,49.4,2,17,11.8,20,22,90.9,6,31,37,19,8,2,10,21,7
San Antonio Spurs,SAS @ TOR,11/25/2012,W,290,111,44,103,42.7,8,27,29.6,15,19,78.9,7,45,52,25,4,5,12,18,5
San Antonio Spurs,SAS @ WAS,11/26/2012,W,240,118,45,80,56.3,13,23,56.5,15,20,75,10,33,43,32,4,5,15,15,26
San Antonio Spurs,SAS @ ORL,11/28/2012,W,240,110,44,84,52.4,11,25,44,11,15,73.3,8,31,39,26,12,9,16,8,21
San Antonio Spurs,SAS @ MIA,11/29/2012,L,240,100,36,80,45,10,30,33.3,18,24,75,11,34,45,22,5,2,20,20,-5
San Antonio Spurs,SAS vs. MEM,12/1/2012,W,265,99,37,89,41.6,7,29,24.1,18,24,75,13,35,48,21,12,5,18,22,4
San Antonio Spurs,SAS vs. MIL,12/5/2012,W,240,110,40,85,47.1,6,21,28.6,24,28,85.7,14,39,53,27,6,4,17,20,11
San Antonio Spurs,SAS vs. HOU,12/7/2012,W,240,114,48,87,55.2,6,20,30,12,13,92.3,6,44,50,33,10,7,18,10,22
San Antonio Spurs,SAS @ CHA,12/8/2012,W,240,132,50,90,55.6,19,34,55.9,13,15,86.7,9,36,45,38,7,5,11,22,30
San Antonio Spurs,SAS @ HOU,12/10/2012,W,265,134,48,92,52.2,14,30,46.7,24,26,92.3,6,43,49,31,6,8,19,22,8
San Antonio Spurs,SAS @ UTA,12/12/2012,L,240,96,37,87,42.5,8,19,42.1,14,18,77.8,13,35,48,18,9,10,13,15,-3
San Antonio Spurs,SAS @ POR,12/13/2012,L,240,90,33,72,45.8,6,19,31.6,18,25,72,7,31,38,23,8,2,19,11,-8
San Antonio Spurs,SAS vs. BOS,12/15/2012,W,240,103,38,81,46.9,12,25,48,15,20,75,11,27,38,28,9,4,13,12,15
