Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Sacramento Kings,SAC vs. PHX,1/23/2013,L,240,96,38,79,48.1,5,11,45.5,15,24,62.5,18,31,49,23,8,9,25,22,-10
Sacramento Kings,SAC vs. OKC,1/25/2013,L,240,95,36,86,41.9,8,15,53.3,15,21,71.4,8,31,39,15,11,3,18,27,-10
Sacramento Kings,SAC @ DEN,1/26/2013,L,240,93,37,88,42,8,22,36.4,11,22,50,13,27,40,20,8,5,20,16,-28
Sacramento Kings,SAC @ WAS,1/28/2013,W,240,96,36,82,43.9,9,23,39.1,15,25,60,7,28,35,24,14,3,11,19,2
Sacramento Kings,SAC @ BOS,1/30/2013,L,240,81,29,73,39.7,6,17,35.3,17,26,65.4,11,27,38,13,11,1,19,19,-18
Sacramento Kings,SAC @ PHI,2/1/2013,L,240,80,30,79,38,1,10,10,19,25,76,9,26,35,21,12,4,13,15,-9
Sacramento Kings,SAC @ NYK,2/2/2013,L,240,81,32,76,42.1,6,21,28.6,11,15,73.3,5,25,30,14,8,2,19,15,-39
Sacramento Kings,SAC @ UTA,2/4/2013,L,265,91,35,87,40.2,3,20,15,18,25,72,15,24,39,13,11,4,13,21,-7
Sacramento Kings,SAC vs. UTA,2/9/2013,W,240,120,44,85,51.8,8,19,42.1,24,35,68.6,16,28,44,27,11,6,17,24,11
Sacramento Kings,SAC vs. HOU,2/10/2013,W,240,117,40,87,46,11,20,55,26,27,96.3,15,31,46,22,9,2,13,21,6
Sacramento Kings,SAC @ MEM,2/12/2013,L,240,101,40,86,46.5,4,16,25,17,24,70.8,12,24,36,20,12,2,14,24,-7
Sacramento Kings,SAC @ DAL,2/13/2013,L,240,100,33,80,41.3,4,16,25,30,36,83.3,12,32,44,17,8,2,18,22,-23
Sacramento Kings,SAC vs. SAS,2/19/2013,L,240,102,34,90,37.8,9,25,36,25,29,86.2,10,32,42,21,8,2,10,23,-6
Sacramento Kings,SAC @ ATL,2/22/2013,L,240,108,38,88,43.2,12,22,54.5,20,25,80,14,32,46,24,3,2,16,18,-14
Sacramento Kings,SAC @ NOH,2/24/2013,L,240,95,35,83,42.2,12,19,63.2,13,13,100,11,27,38,20,5,4,13,16,-15
Sacramento Kings,SAC @ MIA,2/26/2013,L,290,129,48,93,51.6,14,27,51.9,19,26,73.1,14,26,40,33,12,5,19,25,-12
Sacramento Kings,SAC @ ORL,2/27/2013,W,240,125,46,84,54.8,10,22,45.5,23,29,79.3,7,33,40,31,12,3,13,22,24
Sacramento Kings,SAC @ SAS,3/1/2013,L,240,102,39,85,45.9,7,21,33.3,17,19,89.5,5,23,28,20,14,2,20,18,-28
Sacramento Kings,SAC vs. CHA,3/3/2013,W,240,119,42,90,46.7,13,33,39.4,22,27,81.5,18,42,60,26,8,4,18,23,36
Sacramento Kings,SAC vs. DEN,3/5/2013,L,240,113,39,85,45.9,12,31,38.7,23,28,82.1,14,29,43,23,5,7,18,23,-7
Sacramento Kings,SAC @ GSW,3/6/2013,L,240,83,33,83,39.8,8,24,33.3,9,12,75,6,34,40,28,12,4,15,24,-4
