Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Memphis Grizzlies,MEM @ PHX,1/6/2013,W,240,92,37,69,53.6,2,8,25,16,20,80,7,35,42,22,12,4,20,19,11
Memphis Grizzlies,MEM @ SAC,1/7/2013,W,240,113,39,80,48.8,11,20,55,24,27,88.9,11,33,44,29,8,6,8,24,32
Memphis Grizzlies,MEM @ GSW,1/9/2013,W,240,94,40,88,45.5,2,17,11.8,12,16,75,13,30,43,27,11,2,11,17,7
Memphis Grizzlies,MEM vs. SAS,1/11/2013,W,265,101,40,85,47.1,3,12,25,18,21,85.7,9,26,35,19,10,4,14,21,3
Memphis Grizzlies,MEM @ DAL,1/12/2013,L,240,83,32,84,38.1,3,8,37.5,16,26,61.5,14,27,41,19,6,5,8,15,-21
Memphis Grizzlies,MEM vs. LAC,1/14/2013,L,240,73,27,89,30.3,6,20,30,13,17,76.5,24,24,48,14,8,3,16,26,-26
Memphis Grizzlies,MEM @ SAS,1/16/2013,L,240,82,29,69,42,1,9,11.1,23,28,82.1,6,26,32,11,4,3,15,16,-21
Memphis Grizzlies,MEM vs. SAC,1/18/2013,W,240,85,34,78,43.6,3,7,42.9,14,20,70,15,33,48,21,8,10,16,16,16
Memphis Grizzlies,MEM @ CHI,1/19/2013,W,265,85,34,84,40.5,0,5,0,17,28,60.7,17,31,48,15,8,8,15,22,3
Memphis Grizzlies,MEM vs. IND,1/21/2013,L,240,81,35,83,42.2,4,10,40,7,7,100,14,21,35,16,10,2,15,12,-1
Memphis Grizzlies,MEM vs. LAL,1/23/2013,W,240,106,47,96,49,4,13,30.8,8,10,80,16,36,52,22,7,8,12,28,13
Memphis Grizzlies,MEM vs. BKN,1/25/2013,W,240,101,47,90,52.2,4,9,44.4,3,8,37.5,15,30,45,25,6,3,12,21,24
Memphis Grizzlies,MEM vs. NOH,1/27/2013,L,240,83,32,88,36.4,3,16,18.8,16,18,88.9,22,25,47,18,10,7,15,17,-8
Memphis Grizzlies,MEM @ PHI,1/28/2013,W,240,103,40,73,54.8,8,13,61.5,15,19,78.9,9,29,38,26,6,4,17,15,3
Memphis Grizzlies,MEM @ OKC,1/31/2013,L,240,89,34,98,34.7,6,25,24,15,19,78.9,21,27,48,19,12,2,13,23,-17
Memphis Grizzlies,MEM vs. WAS,2/1/2013,W,240,85,35,78,44.9,1,7,14.3,14,17,82.4,12,34,46,22,9,6,19,12,9
Memphis Grizzlies,MEM vs. PHX,2/5/2013,L,240,90,36,82,43.9,3,9,33.3,15,17,88.2,14,20,34,15,7,0,17,20,-6
Memphis Grizzlies,MEM @ ATL,2/6/2013,L,240,92,38,84,45.2,5,12,41.7,11,16,68.8,9,29,38,28,6,4,8,19,-11
Memphis Grizzlies,MEM vs. GSW,2/8/2013,W,240,99,36,79,45.6,8,20,40,19,23,82.6,9,34,43,26,6,4,13,22,6
Memphis Grizzlies,MEM vs. MIN,2/10/2013,W,240,105,41,79,51.9,6,13,46.2,17,22,77.3,13,23,36,30,12,4,13,24,17
Memphis Grizzlies,MEM vs. SAC,2/12/2013,W,240,108,41,75,54.7,6,13,46.2,20,24,83.3,7,32,39,21,5,4,21,22,7
Memphis Grizzlies,MEM @ DET,2/19/2013,W,240,105,45,80,56.3,3,9,33.3,12,20,60,12,32,44,29,14,7,16,20,14
Memphis Grizzlies,MEM @ TOR,2/20/2013,W,240,88,29,80,36.3,6,13,46.2,24,34,70.6,20,29,49,20,7,7,11,23,6
Memphis Grizzlies,MEM vs. ORL,2/22/2013,W,240,88,34,76,44.7,3,16,18.8,17,29,58.6,14,38,52,24,8,6,14,15,6
Memphis Grizzlies,MEM @ BKN,2/24/2013,W,240,76,32,71,45.1,2,7,28.6,10,12,83.3,7,28,35,16,6,11,13,19,4
Memphis Grizzlies,MEM vs. DAL,2/27/2013,W,240,90,29,78,37.2,5,14,35.7,27,34,79.4,11,35,46,21,11,2,16,23,6
Memphis Grizzlies,MEM @ MIA,3/1/2013,L,240,91,33,77,42.9,4,13,30.8,21,27,77.8,10,28,38,23,4,3,12,24,-7
Memphis Grizzlies,MEM @ ORL,3/3/2013,W,240,108,44,83,53,11,24,45.8,9,15,60,14,28,42,31,8,5,14,19,26
Memphis Grizzlies,MEM vs. POR,3/6/2013,W,240,91,38,87,43.7,4,12,33.3,11,18,61.1,16,36,52,20,5,6,9,22,6
Memphis Grizzlies,MEM @ CLE,3/8/2013,W,240,103,45,86,52.3,4,11,36.4,9,11,81.8,9,28,37,30,10,6,14,15,11
Memphis Grizzlies,MEM vs. NOH,3/9/2013,W,240,96,38,81,46.9,4,13,30.8,16,20,80,14,29,43,21,7,11,10,16,11
Memphis Grizzlies,MEM @ POR,3/12/2013,W,240,102,39,76,51.3,3,11,27.3,21,31,67.7,9,28,37,31,10,7,11,24,5
Memphis Grizzlies,MEM @ LAC,3/13/2013,W,240,96,37,68,54.4,6,12,50,16,21,76.2,10,21,31,20,8,3,13,25,11
Memphis Grizzlies,MEM @ DEN,3/15/2013,L,240,80,30,85,35.3,4,12,33.3,16,19,84.2,20,27,47,16,8,5,17,22,-7
Memphis Grizzlies,MEM @ UTA,3/16/2013,L,240,84,33,77,42.9,4,12,33.3,14,22,63.6,11,31,42,14,4,6,12,22,-6
Memphis Grizzlies,MEM vs. MIN,3/18/2013,W,240,92,40,82,48.8,5,16,31.3,7,11,63.6,11,38,49,19,6,10,13,21,15
Memphis Grizzlies,MEM vs. OKC,3/20/2013,W,265,90,32,89,36,6,15,40,20,24,83.3,19,35,54,11,5,5,19,27,1
Memphis Grizzlies,MEM @ NOH,3/22/2013,L,240,83,30,73,41.1,3,10,30,20,25,80,11,22,33,14,11,3,11,20,-7
Memphis Grizzlies,MEM vs. BOS,3/23/2013,W,240,110,43,94,45.7,4,11,36.4,20,24,83.3,16,28,44,26,8,6,8,19,4
Memphis Grizzlies,MEM @ WAS,3/25/2013,L,240,94,34,77,44.2,6,16,37.5,20,22,90.9,9,34,43,17,8,1,16,25,-13
Memphis Grizzlies,MEM @ NYK,3/27/2013,L,240,101,33,70,47.1,6,21,28.6,29,35,82.9,10,24,34,14,6,2,17,24,-7
Memphis Grizzlies,MEM vs. HOU,3/29/2013,W,240,103,40,79,50.6,4,11,36.4,19,21,90.5,13,29,42,24,8,4,14,19,9
Memphis Grizzlies,MEM @ MIN,3/30/2013,W,240,99,37,73,50.7,6,10,60,19,27,70.4,5,30,35,25,9,5,10,28,13
Memphis Grizzlies,MEM vs. SAS,4/1/2013,W,240,92,36,79,45.6,2,7,28.6,18,24,75,10,30,40,15,9,5,10,14,2
Memphis Grizzlies,MEM @ POR,4/3/2013,W,240,94,34,67,50.7,4,12,33.3,22,28,78.6,7,30,37,27,10,4,12,18,18
Memphis Grizzlies,MEM @ LAL,4/5/2013,L,240,84,38,86,44.2,3,14,21.4,5,7,71.4,8,28,36,24,12,4,8,16,-2
Memphis Grizzlies,MEM @ SAC,4/7/2013,W,240,89,32,73,43.8,3,7,42.9,22,29,75.9,8,37,45,17,9,12,16,25,2
Memphis Grizzlies,MEM vs. CHA,4/9/2013,W,240,94,39,82,47.6,3,13,23.1,13,20,65,12,36,48,17,6,7,7,16,19
Memphis Grizzlies,MEM @ HOU,4/12/2013,W,240,82,29,83,34.9,5,17,29.4,19,28,67.9,12,32,44,18,10,8,7,22,4
Memphis Grizzlies,MEM vs. LAC,4/13/2013,L,240,87,34,83,41,6,13,46.2,13,20,65,12,31,43,19,6,5,11,20,-4
Memphis Grizzlies,MEM @ DAL,4/15/2013,W,240,103,38,80,47.5,7,21,33.3,20,25,80,16,34,50,24,10,3,17,22,6
Memphis Grizzlies,MEM vs. UTA,4/17/2013,W,240,86,34,84,40.5,4,13,30.8,14,20,70,19,38,57,22,7,8,11,24,16
